STATE_NAME,AREA_SQ_KM
Rajasthan,342239
Madhya Pradesh,308252
Maharashtra,307713
Uttar Pradesh,240928
Jammu And Kashmir,222236
Gujarat,196244
Karnataka,191791
Andhra Pradesh,162968
Odisha,155707
Chhattisgarh,135192
Tamil Nadu,130060
Telangana,112077
Bihar,94163
West Bengal,88752
Arunachal Pradesh,83743
Jharkhand,79716
Assam,78438
Himachal Pradesh,55673
Uttarakhand,53483
Punjab,50362
Haryana,44212
Kerala,38852
Meghalaya,22429
Manipur,22327
Mizoram,21081
Nagaland,16579
Tripura,10486
Andaman And Nicobar,8249
Sikkim,7096
Goa,3702
Delhi,1483
Dadra & Nagar Haveli,491
Puducherry,490
Chandigarh,114
Daman & Diu,111
Lakshadweep,30
